oneway,fclass,miles,startlon,startlat,endlon,endlat
B,service,0.01100390507,-97.6535600004,30.061364,-97.6537320002,30.0613080002
B,service,0.10383764502,-97.6515389998,30.0607919998,-97.6527239996,30.0596920003
B,service,0.05577530398,-97.6380130002,30.0537400001,-97.6377250004,30.0529699997
B,residential,0.27852621453,-97.6845319997,30.0425108996,-97.6812009998,30.0453160001
B,service,0.18944419327,-97.642105,30.0558559997,-97.6389930004,30.0554719999
B,residential,0.35339304869,-97.6631589997,30.0659229998,-97.6580509998,30.0679889998
B,residential,0.08202079825,-97.6352309996,30.0504670003,-97.634868,30.0493229997
B,residential,0.10565812654,-97.6567449998,30.0600380001,-97.655891,30.0612219998
B,residential,0.05082526418,-97.649943,30.0543710004,-97.6507110003,30.0541649999
B,residential,0.09229434057,-97.6623890002,30.058789,-97.6634660004,30.0578319999
B,service,0.32585631197,-97.6434560003,30.0478609997,-97.6474920003,30.0493550002
B,residential,0.10338498146,-97.6760889997,30.036927,-97.6748140003,30.0359160001
B,residential,0.1501943083,-97.6514759996,30.0691490002,-97.6494489997,30.0678660004
B,service,0.39475818382,-97.6769200003,30.0361449999,-97.6713980001,30.0382639996
B,residential,0.85116921614,-97.681946,30.0372820002,-97.6720004002,30.0460888002
B,service,0.02096027948,-97.6479529999,30.052471,-97.6477149997,30.0526940004
B,service,0.04457821291,-97.6465089999,30.051827,-97.6470660004,30.051398
B,service,0.03070324998,-97.6436769997,30.049351,-97.644094,30.0490919998
B,service,0.08745427095,-97.6503519999,30.0639250003,-97.6516579999,30.0644920004
B,service,0.09549226244,-97.6403439998,30.048843,-97.6410449997,30.0500879999
B,service,0.29652871724,-97.636098,30.0501940003,-97.6406769998,30.0507279997
B,service,0.04001601071,-97.6450900001,30.0505699996,-97.6456570002,30.050266
B,service,0.0531087807,-97.645049,30.0553780001,-97.6451500002,30.0561440003
B,service,0.3336561769,-97.6751769999,30.033028,-97.6708960004,30.0361049998
B,residential,0.03725797391,-97.6581210003,30.0395729997,-97.657647,30.0392229997
B,residential,0.09589969397,-97.658798,30.0389699998,-97.6575819997,30.0380650003
B,service,0.1574456366,-97.6594559998,30.0383809996,-97.6575360003,30.0368350002
B,residential,0.03793878508,-97.6438020001,30.0588959996,-97.6444349996,30.0589090002
B,residential,0.58861057219,-97.6593290002,30.056643,-97.6550909999,30.0537479996
B,residential,0.09853726013,-97.6543940002,30.0532679999,-97.6533689997,30.0543329996
B,residential,0.06494172421,-97.6841439997,30.0375879999,-97.6850049999,30.038136
B,residential,0.12499489092,-97.6336030001,30.0509770004,-97.6342549996,30.0526890002
B,residential,1.23622446801,-97.6666869996,30.0630630002,-97.6515460001,30.0512870003
B,residential,0.21019385092,-97.6414860003,30.061188,-97.6438020001,30.0588959996
B,residential,1.16025507255,-97.6152459998,30.0391750002,-97.6032519998,30.0289210004
B,residential,1.45941310156,-97.6906602004,30.0438982,-97.6744650004,30.0305229996
B,residential,0.15214403504,-97.6358739996,30.052509,-97.6336339997,30.0534940004
B,residential,0.28924284986,-97.6619620002,30.0360950003,-97.6584639999,30.033202
B,residential,0.16664508927,-97.641208,30.0609620004,-97.6426360003,30.058886
B,residential,0.00669257516,-97.6438020001,30.0588959996,-97.6438769999,30.0588239998
